Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2024-01-29,189.93624877929688,403.70086669921875,152.3588104248047,161.25999450683594,190.92999267578125
2024-01-30,186.28077697753906,402.58746337890625,150.32418823242188,159.0,191.58999633789062
2024-01-31,182.67483520507812,391.73919677734375,139.0493621826172,155.1999969482422,187.2899932861328
2024-02-01,185.11183166503906,397.8481750488281,140.1014404296875,159.27999877929688,188.86000061035156
2024-02-02,184.1112518310547,405.1788024902344,141.31227111816406,171.80999755859375,187.91000366210938
2024-02-05,185.92413330078125,399.6906433105469,142.60255432128906,170.30999755859375,181.05999755859375
2024-02-06,187.52899169921875,399.5329895019531,143.01937866210938,169.14999389648438,185.10000610351562
2024-02-07,187.63795471191406,407.96722412109375,144.4485626220703,170.52999877929688,187.5800018310547
2024-02-08,186.5581817626953,408.0263366699219,144.81582641601562,169.83999633789062,189.55999755859375
2024-02-09,187.3219451904297,414.37176513671875,147.8826446533203,174.4499969482422,193.57000732421875
2024-02-12,185.6356658935547,409.1595153808594,146.42367553710938,172.33999633789062,188.1300048828125
2024-02-13,183.54273986816406,400.3507995605469,144.05157470703125,168.63999938964844,184.02000427246094
2024-02-14,182.65994262695312,404.22039794921875,144.84556579589844,170.97999572753906,188.7100067138672
2024-02-15,182.37229919433594,401.32806396484375,141.69937133789062,169.8000030517578,200.4499969482422
2024-02-16,180.83482360839844,398.8602600097656,139.46624755859375,169.50999450683594,199.9499969482422
2024-02-20,180.0908966064453,397.6065673828125,140.06173706054688,167.0800018310547,193.75999450683594
2024-02-21,180.8447723388672,397.0044250488281,141.4810028076172,168.58999633789062,194.77000427246094
2024-02-22,182.87815856933594,406.35260009765625,143.0094451904297,174.5800018310547,197.41000366210938
2024-02-23,181.0431365966797,405.0594482421875,142.88046264648438,174.99000549316406,191.97000122070312
2024-02-26,179.6941680908203,402.29547119140625,136.53834533691406,174.72999572753906,199.39999389648438
2024-02-27,181.15225219726562,402.2362976074219,137.83853149414062,173.5399932861328,199.72999572753906
2024-02-28,179.9520263671875,402.47314453125,135.35728454589844,173.16000366210938,202.0399932861328
2024-02-29,179.2874755859375,408.3169860839844,137.42169189453125,176.75999450683594,201.8800048828125
2024-03-01,178.206298828125,410.15301513671875,136.11158752441406,178.22000122070312,202.63999938964844
2024-03-04,173.6831817626953,409.5805358886719,132.3500213623047,177.5800018310547,188.13999938964844
2024-03-05,168.74346923828125,397.4684143066406,131.67507934570312,174.1199951171875,180.74000549316406
2024-03-06,167.75155639648438,396.91558837890625,130.41464233398438,173.50999450683594,176.5399932861328
2024-03-07,167.63253784179688,403.87493896484375,133.37225341796875,176.82000732421875,178.64999389648438
2024-03-08,169.34852600097656,400.99249267578125,134.39454650878906,175.35000610351562,175.33999633789062
2024-03-11,171.35218811035156,399.3143310546875,136.63760375976562,171.9600067138672,177.77000427246094
2024-03-12,171.82830810546875,409.9359130859375,137.46139526367188,175.38999938964844,177.5399932861328
2024-03-13,169.74530029296875,409.7581787109375,138.74169921875,176.55999755859375,169.47999572753906
2024-03-14,171.6001739501953,419.7479553222656,142.0269012451172,178.75,162.5
2024-03-15,171.22323608398438,411.0611877441406,140.1212615966797,174.4199981689453,163.57000732421875
2024-03-18,172.31436157226562,411.9495849609375,146.57254028320312,174.47999572753906,173.8000030517578
2024-03-19,174.65524291992188,415.9869384765625,145.92739868164062,175.89999389648438,171.32000732421875
2024-03-20,177.22430419921875,419.7578125,147.6245880126953,178.14999389648438,175.66000366210938
2024-03-21,169.98336791992188,423.8445739746094,146.4931640625,178.14999389648438,172.82000732421875
2024-03-22,170.88601684570312,423.2226867675781,149.63938903808594,178.8699951171875,170.8300018310547
2024-03-25,169.46755981445312,417.4183349609375,148.94461059570312,179.7100067138672,172.6300048828125
2024-03-26,168.33677673339844,416.2239074707031,149.54013061523438,178.3000030517578,177.6699981689453
2024-03-27,171.90765380859375,416.0067138671875,149.7386016845703,179.8300018310547,179.8300018310547
2024-03-28,170.0924530029297,415.30584716796875,149.7981719970703,180.3800048828125,175.7899932861328
2024-04-01,168.65420532226562,419.1063537597656,154.32398986816406,180.97000122070312,175.22000122070312
2024-04-02,167.47381591796875,416.0165710449219,153.4009246826172,180.69000244140625,166.6300048828125
2024-04-03,168.2772674560547,415.03936767578125,153.7582244873047,182.41000366210938,168.3800048828125
2024-04-04,167.45399475097656,412.50244140625,149.4011993408203,180.0,171.11000061035156
2024-04-05,168.2078399658203,420.0440673828125,151.3563995361328,185.07000732421875,164.89999389648438
